,Player,Pos.,Cap Figure,Base Salary,Likely Incent.,Unlikely Incent.,Trade Bonus,Cap Figure.1,Cap % Team,Cap % League,Notes,Year,Team,Cap %,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Qualifying Offer,Trade Kicker,Rights,Signed Using,Signing Bonus,Likely Incentives,Dead Cap,Age
0,Tony Parker,PG,"$12,500,000","$12,500,000",-,-,-,"$12,500,000",17.32,19.82,Vet Extension  / Bird,2014,San Antonio Spurs,,,,,,,,,,,,,,
1,Tim Duncan,PF,"$10,361,446","$10,361,446",-,-,-,"$10,361,446",14.35,16.43,/ Bird G'teed: $0,2014,San Antonio Spurs,,,,,,,,,,,,,,
2,Tiago Splitter,PF,"$9,250,000","$9,250,000",-,-,-,"$9,250,000",12.81,14.67,/ Bird G'teed: $0,2014,San Antonio Spurs,,,,,,,,,,,,,,
3,Boris Diaw,C,"$8,000,000","$7,500,000","$500,000",-,-,"$8,000,000",11.08,12.69,/ Bird,2014,San Antonio Spurs,,,,,,,,,,,,,,
4,Manu Ginobili,SG,"$7,000,000","$7,000,000",-,-,-,"$7,000,000",9.7,11.1,/ Bird G'teed: $0,2014,San Antonio Spurs,,,,,,,,,,,,,,
5,Danny Green,SG,"$4,025,000","$4,025,000",-,-,-,"$4,025,000",5.58,6.38,/ Early Bird,2014,San Antonio Spurs,,,,,,,,,,,,,,
6,Patty Mills,PG,"$3,842,105","$3,508,772","$333,333",-,-,"$3,842,105",5.32,6.09,"/ Bird G'teed: $3,842,105",2014,San Antonio Spurs,,,,,,,,,,,,,,
7,Kawhi Leonard,SF,"$2,894,059","$2,894,059",-,-,-,"$2,894,059",4.01,4.59,Drafted  / Rookie Scale  DPOY,2014,San Antonio Spurs,,,,,,,,,,,,,,
8,Marco Belinelli,SG,"$2,873,750","$2,873,750",-,-,-,"$2,873,750",3.98,4.56,/ NT-MLE,2014,San Antonio Spurs,,,,,,,,,,,,,,
9,Aron Baynes,C,"$2,077,000","$2,077,000",-,-,-,"$2,077,000",2.88,3.29,/ NT-MLE,2014,San Antonio Spurs,,,,,,,,,,,,,,
10,Cory Joseph,PG,"$2,023,261","$2,023,261",-,-,-,"$2,023,261",2.8,3.21,Drafted  / Rookie Scale,2014,San Antonio Spurs,,,,,,,,,,,,,,
11,Jeff Ayres,PF,"$1,828,750","$1,828,750",-,-,-,"$1,828,750",2.53,2.9,/ NT-MLE G'teed: $0,2014,San Antonio Spurs,,,,,,,,,,,,,,
12,Kyle Anderson,SF,"$1,093,680","$1,093,680",-,-,-,"$1,093,680",1.52,1.73,Drafted  / Rookie Scale,2014,San Antonio Spurs,,,,,,,,,,,,,,
13,Matt Bonner,C,"$915,243","$1,448,490",-,-,-,"$915,243",1.27,1.45,/ Minimum G'teed: $0,2014,San Antonio Spurs,,,,,,,,,,,,,,
14,Reggie Williams,SF,"$344,036","$344,036",-,-,-,"$344,036",0.48,0.55,/ Minimum G'teed: $0,2014,San Antonio Spurs,,,,,,,,,,,,,,
0,Austin Daye,PF,"$1,063,384","$1,063,384",-,-,-,,,,Waived,2014,San Antonio Spurs,1.47,,,,,,,,,,,,,
1,JaMychal Green,PF,"$60,000","$60,000",-,-,-,,,,Waived,2014,San Antonio Spurs,0.08,,,,,,,,,,,,,
2,Bryce Cotton,PG,"$50,000","$50,000",-,-,-,,,,Waived,2014,San Antonio Spurs,0.07,,,,,,,,,,,,,
3,Josh Davis,PF,"$20,000","$20,000",-,-,-,,,,Waived,2014,San Antonio Spurs,0.03,,,,,,,,,,,,,
4,John Holland,SF,"$20,000","$20,000",-,-,-,,,,Waived,2014,San Antonio Spurs,0.03,,,,,,,,,,,,,
5,Reggie Williams,SF,"$53,838","$62,552",-,-,-,,,,10-day,2014,San Antonio Spurs,0.07,,,,,,,,,,,,,
6,Reggie Williams,SF,"$53,838","$62,552",-,-,-,,,,10-day,2014,San Antonio Spurs,0.07,,,,,,,,,,,,,
7,JaMychal Green,PF,"$29,843","$29,843",-,-,-,,,,10-day,2014,San Antonio Spurs,0.04,,,,,,,,,,,,,
0,Livio Jean-Charles,PF,"$924,800",,,,,,,,,2014,San Antonio Spurs,,,,,,,-,,,,,,,
1,Tracy McGrady,SG,"$884,293",,,,,,,,,2014,San Antonio Spurs,,,,,,,-,,,,,,,
0,LaMarcus Aldridge,PF,"$19,689,000","$19,689,000",-,-,-,"$19,689,000",22.48,28.13,Free Agent (Max) / Space,2015,San Antonio Spurs,,,,,,,,,,,,,,
1,Kawhi Leonard,SF,"$16,407,500","$16,407,500",-,-,-,"$16,407,500",18.73,23.44,Rk Extension  / Bird  DPOY,2015,San Antonio Spurs,,,,,,,,,,,,,,
2,Tony Parker,PG,"$13,437,500","$13,437,500",-,-,-,"$13,437,500",15.34,19.2,Vet Extension  / Bird,2015,San Antonio Spurs,,,,,,,,,,,,,,
3,Danny Green,SG,"$10,000,000","$10,000,000",-,-,-,"$10,000,000",11.42,14.29,/ Bird,2015,San Antonio Spurs,,,,,,,,,,,,,,
4,Boris Diaw,C,"$7,500,000","$7,000,000","$500,000",-,-,"$7,500,000",8.56,10.71,/ Bird,2015,San Antonio Spurs,,,,,,,,,,,,,,
5,Tim Duncan,PF,"$6,000,000","$5,250,000","$750,000",-,-,"$6,000,000",6.85,8.57,/ Bird G'teed: $0  No Trade,2015,San Antonio Spurs,,,,,,,,,,,,,,
6,Patty Mills,PG,"$3,578,947","$3,245,614","$333,333",-,-,"$3,578,947",4.09,5.11,"/ Bird G'teed: $3,578,947",2015,San Antonio Spurs,,,,,,,,,,,,,,
7,Manu Ginobili,SG,"$2,814,000","$2,814,000",-,-,-,"$2,814,000",3.21,4.02,/ Room G'teed: $0  Can Veto Trade,2015,San Antonio Spurs,,,,,,,,,,,,,,
8,David West,PF,"$1,499,187","$1,499,187",-,-,-,"$1,499,187",1.71,2.14,/ Minimum G'teed: $0,2015,San Antonio Spurs,,,,,,,,,,,,,,
9,Boban Marjanovic,C,"$1,200,000","$1,200,000",-,-,-,"$1,200,000",1.37,1.71,/ Space,2015,San Antonio Spurs,,,,,,,,,,,,,,
10,Kyle Anderson,SF,"$1,142,880","$1,142,880",-,-,-,"$1,142,880",1.3,1.63,Drafted  / Rookie Scale,2015,San Antonio Spurs,,,,,,,,,,,,,,
11,Matt Bonner,C,"$947,276","$1,499,187",-,-,-,"$947,276",1.08,1.35,/ Minimum G'teed: $0  Can Veto Trade,2015,San Antonio Spurs,,,,,,,,,,,,,,
12,Jonathon Simmons,SF,"$525,093","$525,093",-,-,-,"$525,093",0.6,0.75,/ Minimum G'teed: $0,2015,San Antonio Spurs,,,,,,,,,,,,,,
13,Andre Miller,PG,"$250,750","$396,844",-,-,-,"$250,750",0.29,0.36,/ Minimum G'teed: $0,2015,San Antonio Spurs,,,,,,,,,,,,,,
14,Kevin Martin,SG,"$200,600","$317,475",-,-,-,"$200,600",0.23,0.29,/ Minimum G'teed: $0,2015,San Antonio Spurs,,,,,,,,,,,,,,
0,Rasual Butler,SF,"$947,276","$1,499,187",-,-,-,,,,Waived,2015,San Antonio Spurs,1.08,,,,,,,,,,,,,
1,Ray McCallum,PG,"$947,276","$947,276",-,-,-,,,,Waived,2015,San Antonio Spurs,1.08,,,,,,,,,,,,,
2,Jimmer Fredette,PG,"$507,711","$507,711",-,-,-,,,,Waived,2015,San Antonio Spurs,0.58,,,,,,,,,,,,,
0,LaMarcus Aldridge,PF,"$20,575,005","$20,575,005",-,-,-,"$20,575,005",18.99,21.86,Free Agent (Max) / Space,2016,San Antonio Spurs,,,,,,,,,,,,,,
1,Kawhi Leonard,SF,"$17,638,063","$17,638,063",-,-,-,"$17,638,063",16.28,18.74,Rk Extension  / Bird,2016,San Antonio Spurs,,,,,,,,,,,,,,
2,Pau Gasol,C,"$15,500,000","$15,500,000",-,-,-,"$15,500,000",14.3,16.46,/ Space G'teed: $0,2016,San Antonio Spurs,,,,,,,,,,,,,,
3,Tony Parker,PG,"$14,445,313","$14,445,313",-,-,-,"$14,445,313",13.33,15.34,Vet Extension  / Bird  Back,2016,San Antonio Spurs,,,,,,,,,,,,,,
4,Manu Ginobili,SG,"$14,000,000","$14,000,000",-,-,-,"$14,000,000",12.92,14.87,/ Bird G'teed: $0  Can Veto Trade,2016,San Antonio Spurs,,,,,,,,,,,,,,
5,Danny Green,SG,"$10,000,000","$10,000,000",-,-,-,"$10,000,000",9.23,10.62,/ Bird,2016,San Antonio Spurs,,,,,,,,,,,,,,
6,Patty Mills,PG,"$3,578,948","$3,245,614","$333,334",-,-,"$3,578,948",3.3,3.8,"/ Bird G'teed: $3,578,948",2016,San Antonio Spurs,,,,,,,,,,,,,,
7,Dewayne Dedmon,C,"$2,898,000","$2,898,000",-,-,-,"$2,898,000",2.67,3.08,/ Room G'teed: $0,2016,San Antonio Spurs,,,,,,,,,,,,,,
8,David Lee,PF,"$1,551,659","$1,551,659",-,-,-,"$1,551,659",1.43,1.65,/ Minimum G'teed: $0,2016,San Antonio Spurs,,,,,,,,,,,,,,
9,Kyle Anderson,SF,"$1,192,080","$1,192,080",-,-,-,"$1,192,080",1.1,1.27,Drafted  / Rookie Scale,2016,San Antonio Spurs,,,,,,,,,,,,,,
10,Dejounte Murray,PG,"$1,180,080","$1,180,080",-,-,-,"$1,180,080",1.09,1.25,Drafted  / Rookie Scale,2016,San Antonio Spurs,,,,,,,,,,,,,,
11,Jonathon Simmons,SF,"$874,636","$874,636",-,-,-,"$874,636",0.81,0.93,/ Minimum G'teed: $0,2016,San Antonio Spurs,,,,,,,,,,,,,,
12,Davis Bertans,SF,"$543,471","$543,471",-,-,-,"$543,471",0.5,0.58,Drafted  / Minimum,2016,San Antonio Spurs,,,,,,,,,,,,,,
13,Bryn Forbes,SG,"$543,471","$543,471",-,-,-,"$543,471",0.5,0.58,/ Minimum,2016,San Antonio Spurs,,,,,,,,,,,,,,
14,Joel Anthony,C,"$346,034","$497,858",-,-,-,"$346,034",0.32,0.37,/ Minimum,2016,San Antonio Spurs,,,,,,,,,,,,,,
0,Tim Duncan,PF,"$1,881,250","$1,881,250",-,-,-,,,,Waived,2016,San Antonio Spurs,1.74,,,,,,,,,,,,,
1,Livio Jean-Charles,PF,"$1,122,792","$1,122,792",-,-,-,,,,Waived,2016,San Antonio Spurs,1.04,,,,,,,,,,,,,
2,Nicolas Laprovittola,PF,"$210,995","$210,995",-,-,-,,,,Waived,2016,San Antonio Spurs,0.19,,,,,,,,,,,,,
3,Patricio Garino,SF,"$100,000","$100,000",-,-,-,,,,Waived,2016,San Antonio Spurs,0.09,,,,,,,,,,,,,
4,Ryan Arcidiacono,PG,"$75,000","$75,000",-,-,-,,,,Waived,2016,San Antonio Spurs,0.07,,,,,,,,,,,,,
5,Joel Anthony,C,"$57,672","$82,976",-,-,-,,,,10-day,2016,San Antonio Spurs,0.05,,,,,,,,,,,,,
6,Joel Anthony,C,"$57,672","$82,976",-,-,-,,,,10-day,2016,San Antonio Spurs,0.05,,,,,,,,,,,,,
0,LaMarcus Aldridge,PF,"$21,461,010","$21,461,010",-,-,-,"$21,461,010",18.25,21.66,Free Agent (Max) / Space,2017,San Antonio Spurs,,,,,,,,,,,,,,
1,Kawhi Leonard,SF,"$18,868,625","$18,868,625",-,-,-,"$18,868,625",16.04,19.04,Rk Extension  / Bird  SEI-Quad,2017,San Antonio Spurs,,,,,,,,,,,,,,
2,Pau Gasol,C,"$16,000,000","$16,000,000",-,-,-,"$16,000,000",13.6,16.15,/ Non-Bird,2017,San Antonio Spurs,,,,,,,,,,,,,,
3,Tony Parker,PG,"$15,453,126","$15,453,126",-,-,-,"$15,453,126",13.14,15.59,Vet Extension  / Bird,2017,San Antonio Spurs,,,,,,,,,,,,,,
4,Patty Mills,PG,"$10,714,286","$10,714,286",-,-,-,"$10,714,286",9.11,10.81,/ Bird,2017,San Antonio Spurs,,,,,,,,,,,,,,
5,Danny Green,SG,"$10,000,000","$10,000,000",-,-,-,"$10,000,000",8.5,10.09,/ Bird,2017,San Antonio Spurs,,,,,,,,,,,,,,
6,Rudy Gay,SF,"$8,406,000","$8,406,000",-,-,-,"$8,406,000",7.15,8.48,/ NT-MLE,2017,San Antonio Spurs,,,,,,,,,,,,,,
7,Manu Ginobili,SG,"$2,500,000","$2,500,000",-,-,-,"$2,500,000",2.13,2.52,/ Bird,2017,San Antonio Spurs,,,,,,,,,,,,,,
8,Kyle Anderson,SF,"$2,151,704","$2,151,704",-,-,-,"$2,151,704",1.83,2.17,Drafted  / Rookie Scale,2017,San Antonio Spurs,,,,,,,,,,,,,,
9,Joffrey Lauvergne,PF,"$1,524,305","$1,524,305",-,-,-,"$1,524,305",1.3,1.54,/ Minimum,2017,San Antonio Spurs,,,,,,,,,,,,,,
10,Derrick White,PG,"$1,404,600","$1,404,600",-,-,-,"$1,404,600",1.19,1.42,Drafted  / Rookie Scale,2017,San Antonio Spurs,,,,,,,,,,,,,,
11,Davis Bertans,SF,"$1,312,611","$1,312,611",-,-,-,"$1,312,611",1.12,1.32,Drafted  / Minimum,2017,San Antonio Spurs,,,,,,,,,,,,,,
12,Bryn Forbes,SG,"$1,312,611","$1,312,611",-,-,-,"$1,312,611",1.12,1.32,/ Minimum,2017,San Antonio Spurs,,,,,,,,,,,,,,
13,Dejounte Murray,PG,"$1,312,611","$1,312,611",-,-,-,"$1,312,611",1.12,1.32,Drafted  / Rookie Scale,2017,San Antonio Spurs,,,,,,,,,,,,,,
14,Brandon Paul,SG,"$815,615","$815,615",-,-,-,"$815,615",0.69,0.82,/ Minimum,2017,San Antonio Spurs,,,,,,,,,,,,,,
0,Matt Costello,C,,,,,,,,,,2017,San Antonio Spurs,,,,,,,,,,,,,,
1,Darrun Hilliard II,SG,,,,,,,,,,2017,San Antonio Spurs,,,,,,,,,,,,,,
0,Tim Duncan,PF,"$1,881,250","$1,881,250",-,-,-,,,,Waived,2017,San Antonio Spurs,1.6,,,,,,,,,,,,,
1,Livio Jean-Charles,PF,"$1,035,200","$1,035,200",-,-,-,,,,Waived,2017,San Antonio Spurs,0.88,,,,,,,,,,,,,
0,David Lee,PF,"$1,471,382",,,,,,,,,2017,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
0,DeMar DeRozan,SG,"$27,739,975","$27,739,975",-,-,-,"$27,739,975",21.99,27.23,Acquired via Trade,2018,San Antonio Spurs,,,,,,,,,,,,,,
1,LaMarcus Aldridge,PF,"$22,347,015","$22,347,015",-,-,-,"$22,347,015",17.72,21.94,Free Agent (Max) / Space,2018,San Antonio Spurs,,,,,,,,,,,,,,
2,Patty Mills,PG,"$11,571,429","$11,571,429",-,-,-,"$11,571,429",9.17,11.36,/ Bird,2018,San Antonio Spurs,,,,,,,,,,,,,,
3,Rudy Gay,SF,"$10,087,200","$10,087,200",-,-,-,"$10,087,200",8.0,9.9,/ Non-Bird  Can Veto Trade,2018,San Antonio Spurs,,,,,,,,,,,,,,
4,Davis Bertans,SF,"$7,000,000","$7,000,000",-,-,-,"$7,000,000",5.55,6.87,/ Early Bird,2018,San Antonio Spurs,,,,,,,,,,,,,,
5,Marco Belinelli,SG,"$6,153,846","$6,153,846",-,-,-,"$6,153,846",4.88,6.04,/ NT-MLE,2018,San Antonio Spurs,,,,,,,,,,,,,,
6,Bryn Forbes,SG,"$3,125,000","$3,125,000",-,-,-,"$3,125,000",2.48,3.07,/ Early Bird,2018,San Antonio Spurs,,,,,,,,,,,,,,
7,Jakob Poeltl,C,"$2,947,320","$2,947,320",-,-,-,"$2,947,320",2.34,2.89,Acquired via Trade,2018,San Antonio Spurs,,,,,,,,,,,,,,
8,Dante Cunningham,PF,"$2,487,000","$2,487,000",-,-,-,"$2,487,000",1.97,2.44,/ NT-MLE,2018,San Antonio Spurs,,,,,,,,,,,,,,
9,Lonnie Walker IV,SG,"$2,357,160","$2,357,160",-,-,-,"$2,357,160",1.87,2.31,Drafted  / Rookie Scale,2018,San Antonio Spurs,,,,,,,,,,,,,,
10,Derrick White,PG,"$1,667,160","$1,667,160",-,-,-,"$1,667,160",1.32,1.64,Drafted  / Rookie Scale,2018,San Antonio Spurs,,,,,,,,,,,,,,
11,Dejounte Murray,PG,"$1,544,951","$1,544,951",-,-,-,"$1,544,951",1.22,1.52,Drafted  / Rookie Scale  SEI-Knee-acl,2018,San Antonio Spurs,,,,,,,,,,,,,,
12,Quincy Pondexter,SG,"$1,512,601","$2,165,481",-,-,-,"$1,512,601",1.2,1.48,/ Minimum,2018,San Antonio Spurs,,,,,,,,,,,,,,
13,Chimezie Metu,PF,"$838,464","$838,464",-,-,-,"$838,464",0.66,0.82,/ NT-MLE,2018,San Antonio Spurs,,,,,,,,,,,,,,
14,Donatas Motiejunas,PF,"$59,820","$69,503",-,-,-,"$59,820",0.05,0.06,RoS  / Minimum,2018,San Antonio Spurs,,,,,,,,,,,,,,
0,Drew Eubanks,C,,,,,,,,,,2018,San Antonio Spurs,,,,,,,,,,,,,,
1,Ben Moore,PF,,,,,,,,,,2018,San Antonio Spurs,,,,,,,,,,,,,,
0,Pau Gasol,C,"$15,925,144","$15,925,144",-,-,-,,,,Waived,2018,San Antonio Spurs,12.63,,,,,,,,,,,,,
1,Manu Ginobili,SG,"$2,500,000","$2,500,000",-,-,-,,,,Waived,2018,San Antonio Spurs,1.98,,,,,,,,,,,,,
2,Tim Duncan,PF,"$1,881,250","$1,881,250",-,-,-,,,,Waived,2018,San Antonio Spurs,1.49,,,,,,,,,,,,,
0,Joffrey Lauvergne,PF,"$1,499,698",,,,,,,,,2018,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
1,Matt Costello,C,"$1,443,842",,,,,,,,,2018,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
2,Darrun Hilliard II,SG,"$1,443,842",,,,,,,,,2018,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
3,David Lee,PF,-,,,,,,,,,2018,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
0,DeMar DeRozan,SG,"$27,739,975","$27,739,975",-,-,-,"$27,739,975",20.07,25.42,Acquired via Trade,2019,San Antonio Spurs,,,,,,,,,,,,,,
1,LaMarcus Aldridge,PF,"$26,000,000","$26,000,000",-,-,-,"$26,000,000",18.81,23.82,Vet Extension  / Early Bird,2019,San Antonio Spurs,,,,,,,,,,,,,,
2,Rudy Gay,SF,"$14,500,000","$14,000,000","$500,000",-,-,"$14,500,000",10.49,13.29,Free Agent / Early Bird,2019,San Antonio Spurs,,,,,,,,,,,,,,
3,Patty Mills,PG,"$12,428,571","$12,428,571",-,-,-,"$12,428,571",8.99,11.39,/ Bird,2019,San Antonio Spurs,,,,,,,,,,,,,,
4,Marco Belinelli,SG,"$5,846,154","$5,846,154",-,-,-,"$5,846,154",4.23,5.36,/ NT-MLE,2019,San Antonio Spurs,,,,,,,,,,,,,,
5,Trey Lyles,PF,"$5,500,000","$5,500,000",-,-,-,"$5,500,000",3.98,5.04,Free Agent / NT-MLE,2019,San Antonio Spurs,,,,,,,,,,,,,,
6,Jakob Poeltl,C,"$3,754,886","$3,754,886",-,-,-,"$3,754,886",2.72,3.44,Acquired via Trade,2019,San Antonio Spurs,,,,,,,,,,,,,,
7,Bryn Forbes,SG,"$2,875,000","$2,875,000",-,-,-,"$2,875,000",2.08,2.63,/ Early Bird,2019,San Antonio Spurs,,,,,,,,,,,,,,
8,Lonnie Walker IV,SG,"$2,760,480","$2,760,480",-,-,-,"$2,760,480",2.0,2.53,Drafted  / Rookie Scale,2019,San Antonio Spurs,,,,,,,,,,,,,,
9,Luka Samanic,PF,"$2,689,920","$2,689,920",-,-,-,"$2,689,920",1.95,2.46,Drafted  / Rookie Scale,2019,San Antonio Spurs,,,,,,,,,,,,,,
10,Dejounte Murray,PG,"$2,321,735","$2,321,735",-,-,-,"$2,321,735",1.68,2.13,Drafted  / Rookie Scale,2019,San Antonio Spurs,,,,,,,,,,,,,,
11,Keldon Johnson,SF,"$1,950,600","$1,950,600",-,-,-,"$1,950,600",1.41,1.79,Drafted  / Rookie Scale  Trade Restr.: 1/16/23,2019,San Antonio Spurs,,,,,,,,,,,,,,
12,Derrick White,PG,"$1,948,080","$1,948,080",-,-,-,"$1,948,080",1.41,1.78,Drafted  / Rookie Scale,2019,San Antonio Spurs,,,,,,,,,,,,,,
13,Chimezie Metu,PF,"$1,416,852","$1,416,852",-,-,-,"$1,416,852",1.03,1.3,/ NT-MLE,2019,San Antonio Spurs,,,,,,,,,,,,,,
14,Tyler Zeller,C,"$183,115","$245,686",-,-,-,"$183,115",0.13,0.17,RoS  / Minimum,2019,San Antonio Spurs,,,,,,,,,,,,,,
0,Drew Eubanks,C,,,,,,,,,,2019,San Antonio Spurs,,,,,,,,,,,,,,
1,Quinndary Weatherspoon,SG,,,,,,,,,,2019,San Antonio Spurs,,,,,,,,,,,,,,
0,DeMarre Carroll,SF,"$6,842,307","$6,842,307",-,-,-,,,,Waived,2019,San Antonio Spurs,4.95,,,,,,,,,,,,,
1,Pau Gasol,C,"$5,074,856","$5,074,856",-,-,-,,,,Waived,2019,San Antonio Spurs,3.67,,,,,,,,,,,,,
0,Dante Cunningham,PF,"$2,984,400",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
1,Nikola Milutinov,C,"$2,033,160",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,,,,,,
2,David Lee,PF,"$1,620,564",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
3,Donatas Motiejunas,PF,"$1,620,564",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
4,Quincy Pondexter,SG,"$1,620,564",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
5,Joffrey Lauvergne,PF,"$1,618,486",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
6,Matt Costello,C,"$1,443,842",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
7,Darrun Hilliard II,SG,"$1,443,842",,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
8,Ben Moore,PF,-,,,,,,,,,2019,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
0,DeMar DeRozan,SG,"$27,739,975","$27,739,975",-,-,-,"$27,739,975",18.47,25.42,Acquired via Trade,2020,San Antonio Spurs,,,,,,,,,,,,,,
1,Rudy Gay,SF,"$14,500,000","$14,000,000","$500,000",-,-,"$14,500,000",9.66,13.29,Free Agent / Early Bird,2020,San Antonio Spurs,,,,,,,,,,,,,,
2,Dejounte Murray,PG,"$14,286,000","$14,286,000",-,"$1,500,000",-,"$14,286,000",9.51,13.09,Rk Extension  / Bird,2020,San Antonio Spurs,,,,,,,,,,,,,,
3,Patty Mills,PG,"$13,535,714","$13,285,714","$250,000","$250,000",-,"$13,535,714",9.01,12.4,/ Bird,2020,San Antonio Spurs,,,,,,,,,,,,,,
4,Jakob Poeltl,C,"$8,101,852","$8,101,852",-,-,-,"$8,101,852",5.4,7.42,Free Agent / Bird,2020,San Antonio Spurs,,,,,,,,,,,,,,
5,Trey Lyles,PF,"$5,500,000","$5,500,000",-,-,-,"$5,500,000",3.66,5.04,Free Agent / NT-MLE  SEI-Ankle,2020,San Antonio Spurs,,,,,,,,,,,,,,
6,Devin Vassell,SG,"$4,033,440","$4,033,440",-,-,-,"$4,033,440",2.69,3.7,Drafted  / Rookie Scale,2020,San Antonio Spurs,,,,,,,,,,,,,,
7,Derrick White,PG,"$3,516,284","$3,516,284",-,-,-,"$3,516,284",2.34,3.22,Drafted  / Rookie Scale  SEI-Ankle,2020,San Antonio Spurs,,,,,,,,,,,,,,
8,Lonnie Walker IV,SG,"$2,892,000","$2,892,000",-,-,-,"$2,892,000",1.93,2.65,Drafted  / Rookie Scale,2020,San Antonio Spurs,,,,,,,,,,,,,,
9,Luka Samanic,PF,"$2,824,320","$2,824,320",-,-,-,"$2,824,320",1.88,2.59,Drafted  / Rookie Scale,2020,San Antonio Spurs,,,,,,,,,,,,,,
10,Keldon Johnson,SG,"$2,048,040","$2,048,040",-,-,-,"$2,048,040",1.36,1.88,Drafted  / Rookie Scale  Trade Restr.: 1/16/23,2020,San Antonio Spurs,,,,,,,,,,,,,,
11,Drew Eubanks,PF,"$1,620,564","$1,620,564",-,-,-,"$1,620,564",1.08,1.48,Free Agent / Early Bird,2020,San Antonio Spurs,,,,,,,,,,,,,,
12,DaQuan Jeffries,SG,"$1,445,697","$1,445,697",-,-,-,"$1,445,697",0.96,1.32,Acquired via Trade,2020,San Antonio Spurs,,,,,,,,,,,,,,
13,Gorgui Dieng,C,"$1,000,000","$1,000,000",-,-,-,"$1,000,000",0.67,0.92,RoS  / NT-MLE,2020,San Antonio Spurs,,,,,,,,,,,,,,
14,Tre Jones,PG,"$898,310","$898,310",-,-,-,"$898,310",0.6,0.82,Drafted  / NT-MLE,2020,San Antonio Spurs,,,,,,,,,,,,,,
0,Keita Bates-Diop,SF,,,,,,,,,,2020,San Antonio Spurs,,,,,,,,,,,,,,
1,Quinndary Weatherspoon,SG,,,,,,,,,,2020,San Antonio Spurs,,,,,,,,,,,,,,
0,LaMarcus Aldridge,PF,"$16,750,000","$16,750,000",-,-,-,,,,Waived,2020,San Antonio Spurs,11.16,,,,,,,,,,,,,
1,DeMarre Carroll,SF,"$6,119,676","$6,119,676",-,-,-,,,,Waived,2020,San Antonio Spurs,4.08,,,,,,,,,,,,,
2,Marquese Chriss,SF,"$1,824,003","$1,824,003",-,-,-,,,,Waived,2020,San Antonio Spurs,1.21,,,,,,,,,,,,,
3,Cam Reynolds,F,"$110,998","$110,998",-,-,-,,,,10-day,2020,San Antonio Spurs,0.07,,,,,,,,,,,,,
0,Marco Belinelli,SG,"$7,600,000",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Early Bird,,,,,
1,Dante Cunningham,PF,"$2,984,400",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
2,Joffrey Lauvergne,PF,"$1,620,564",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
3,David Lee,PF,"$1,620,564",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
4,Donatas Motiejunas,PF,"$1,620,564",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
5,Quincy Pondexter,SG,"$1,620,564",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Non-Bird,,,,,
6,Matt Costello,C,"$1,445,697",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
7,Darrun Hilliard II,SG,"$1,445,697",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
8,Ben Moore,PF,"$1,445,697",,,,,,,,,2020,San Antonio Spurs,,,,,,,-,,Two-Way,,,,,
0,Dejounte Murray,PG,"$15,428,880","$15,428,880",-,"$1,500,000",-,"$15,428,880",12.2,13.73,Rk Extension  / Bird,2021,San Antonio Spurs,,,,,,,,,,,,,,
1,Doug McDermott,SF,"$13,750,000","$13,750,000",-,"$250,000",-,"$13,750,000",10.88,12.23,Acquired via S&T,2021,San Antonio Spurs,,,,,,,,,,,,,,
2,Josh Richardson,SG,"$11,615,328","$11,615,328",-,-,-,"$11,615,328",9.19,10.33,Acquired via Trade,2021,San Antonio Spurs,,,,,,,,,,,,,,
3,Jakob Poeltl,C,"$8,750,000","$8,750,000",-,-,-,"$8,750,000",6.92,7.78,Free Agent / Bird,2021,San Antonio Spurs,,,,,,,,,,,,,,
4,Zach Collins,C,"$7,000,000","$7,000,000",-,-,-,"$7,000,000",5.54,6.23,Free Agent / Space  Ankle,2021,San Antonio Spurs,,,,,,,,,,,,,,
